
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
130	Monash C		2nd	3rd	1st	3rd	1st	4th	3rd	3rd	3rd	13	1407	2	1	5	0
131	Harvard D		3rd	1st	2nd	1st	3rd	4th	4th	4th	1st	13	1399	3	1	2	0
132	NUS C		1st	4th	1st	4th	1st	4th	3rd	3rd	2nd	13	1397	3	1	2	0
133	Chicago C		3rd	3rd	3rd	2nd	1st	2nd	2nd	3rd	4th	13	1395	1	3	4	0
134	Carleton A		2nd	2nd	4th	3rd	2nd	2nd	1st	3rd	4th	13	1393	1	4	2	0
135	Athens A	ESL, EFL	3rd	4th	1st	3rd	2nd	1st	1st	4th	4th	13	1392	3	1	2	0
136	Sciences Po A		3rd	1st	3rd	2nd	2nd	4th	2nd	2nd	4th	13	1389	1	4	2	0
137	Duke A		3rd	3rd	1st	2nd	4th	1st	4th	1st	4th	13	1383	3	1	2	0
138	Vanderbilt C		4th	2nd	3rd	3rd	2nd	2nd	1st	2nd	4th	13	1380	1	4	2	0
139	DK Wien B	ESL	1st	4th	2nd	4th	1st	3rd	3rd	4th	1st	13	1379	3	1	2	0
140	UWODS C		2nd	1st	3rd	2nd	4th	2nd	3rd	4th	2nd	13	1379	1	4	2	0
141	Vic Wellington A		2nd	3rd	2nd	3rd	2nd	3rd	2nd	3rd	3rd	13	1379	0	4	5	0
142	Cambridge D		2nd	3rd	2nd	3rd	1st	4th	4th	3rd	1st	13	1377	2	2	3	0
143	Swarthmore A		4th	1st	4th	2nd	4th	1st	2nd	1st	4th	13	1376	3	2	0	0
144	Chile A	ESL	2nd	4th	1st	3rd	2nd	4th	4th	1st	2nd	13	1374	2	3	1	0
145	Atma Jaya A	ESL, EFL	3rd	4th	1st	4th	2nd	3rd	1st	2nd	3rd	13	1374	2	2	3	0
146	BUET C	ESL	2nd	3rd	2nd	1st	4th	2nd	4th	3rd	2nd	13	1370	1	4	2	0
147	LSE D		2nd	3rd	4th	3rd	2nd	1st	3rd	2nd	3rd	13	1370	1	3	4	0
148	NTU C		2nd	3rd	3rd	2nd	4th	1st	3rd	3rd	2nd	13	1368	1	3	4	0
149	Hart House B		3rd	1st	3rd	3rd	2nd	2nd	4th	4th	1st	13	1366	2	2	3	0
150	Middlebury A		2nd	4th	1st	4th	3rd	3rd	2nd	2nd	2nd	13	1363	1	4	2	0
151	Waterloo B		4th	1st	2nd	3rd	2nd	3rd	4th	2nd	2nd	13	1360	1	4	2	1
152	Vanderbilt D		3rd	3rd	2nd	2nd	4th	3rd	2nd	3rd	1st	13	1358	1	3	4	0
153	Vanderbilt A		1st	4th	3rd	4th	2nd	3rd	2nd	1st	3rd	13	1356	2	2	3	0
154	Leiden A		4th	3rd	3rd	3rd	3rd	2nd	1st	1st	3rd	13	1354	2	1	5	0
155	Chulalongkorn A	ESL, EFL	3rd	3rd	2nd	1st	2nd	4th	3rd	2nd	3rd	13	1352	1	3	4	0
156	SMU A		4th	3rd	3rd	1st	4th	2nd	2nd	1st	3rd	13	1347	2	2	3	0
157	Tokyo D		3rd	4th	2nd	4th	2nd	2nd	3rd	2nd	1st	13	1340	1	4	2	0
158	Korea A	ESL, EFL	3rd	3rd	3rd	3rd	3rd	4th	1st	1st	2nd	13	1332	2	1	5	0
159	McGill D		3rd	2nd	2nd	1st	1st	4th	3rd	4th	4th	12	1405	2	2	2	0
160	Reichman A	ESL	2nd	4th	1st	2nd	3rd	2nd	4th	2nd	4th	12	1391	1	4	1	0
161	EUDU B		4th	2nd	2nd	3rd	1st	3rd	3rd	2nd	4th	12	1385	1	3	3	0
162	Zagreb D	ESL, EFL	1st	3rd	3rd	2nd	3rd	1st	4th	4th	3rd	12	1383	2	1	4	0
163	Monash D		2nd	4th	1st	4th	2nd	3rd	2nd	2nd	4th	12	1383	1	4	1	0
164	Monash A		3rd	2nd	1st	4th	3rd	3rd	3rd	1st	4th	12	1379	2	1	4	0
165	BUET A	ESL, EFL	2nd	1st	4th	4th	3rd	2nd	1st	3rd	4th	12	1375	2	2	2	0
166	Auckland B		2nd	3rd	2nd	4th	4th	1st	1st	3rd	4th	12	1374	2	2	2	0
167	Brown B		3rd	4th	1st	1st	3rd	4th	3rd	2nd	3rd	12	1371	2	1	4	0
168	UWODS B		2nd	2nd	3rd	4th	4th	1st	4th	2nd	2nd	12	1371	1	4	1	0
169	Imperial A		2nd	4th	2nd	2nd	1st	4th	4th	3rd	2nd	12	1366	1	4	1	0
170	USAF A		2nd	3rd	2nd	4th	3rd	4th	3rd	2nd	1st	12	1366	1	3	3	0
171	Hong Kong D		3rd	3rd	3rd	3rd	3rd	2nd	1st	3rd	3rd	12	1364	1	1	7	0
172	UT MARA B	ESL	3rd	2nd	4th	4th	1st	1st	4th	4th	1st	12	1362	3	1	1	0
173	De La Salle C	ESL	4th	2nd	2nd	1st	4th	4th	3rd	3rd	1st	12	1362	2	2	2	0
174=	Stanford D		4th	4th	1st	3rd	4th	1st	2nd	2nd	3rd	12	1359	2	2	2	0
174=	Ottawa A		1st	4th	4th	4th	3rd	3rd	2nd	2nd	1st	12	1359	2	2	2	2
176	Indonesia A	ESL, EFL	1st	4th	4th	4th	1st	2nd	1st	4th	3rd	12	1358	3	1	1	0
177	Taiwan A	ESL, EFL	4th	1st	3rd	3rd	2nd	4th	1st	4th	2nd	12	1357	2	2	2	0
178	Alberta B		3rd	2nd	4th	3rd	3rd	2nd	1st	3rd	3rd	12	1353	1	2	5	0
179	NU A	ESL	4th	3rd	4th	3rd	1st	1st	2nd	4th	2nd	12	1352	2	2	2	0
180	Yonsei A		3rd	2nd	3rd	4th	2nd	4th	3rd	1st	2nd	12	1352	1	3	3	0
181	Split A	ESL, EFL	3rd	3rd	3rd	2nd	2nd	3rd	2nd	2nd	4th	12	1352	0	4	4	0
182	Coimbra A	ESL, EFL	4th	3rd	2nd	3rd	4th	3rd	3rd	1st	1st	12	1325	2	1	4	0
183	TAU D	ESL	4th	4th	3rd	3rd	2nd	3rd	1st	1st	3rd	12	1315	2	1	4	0
184	UC Berkeley B		2nd	3rd	1st	4th	4th	4th	4th	1st	2nd	11	1382	2	2	1	0
