
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	Pts	Spk	1sts	2nds
DAV Jagerbomb	3rd	Closing Opposition	View Ballot	Anshuman MishraⒸ
You know what	2nd	Closing Government	View Ballot	Anshuman MishraⒸ
Osaka A	1st	Opening Opposition	View Ballot	Anshuman MishraⒸ
Debate our way to the GF	4th	Opening Government	View Ballot	Anshuman MishraⒸ
Big smart eggs	4th	Closing Opposition	View Ballot	Halimat Ojone UsmanⒸ
We don&#x27;t cook we don&#x27;t clean	3rd	Closing Government	View Ballot	Halimat Ojone UsmanⒸ
Shanghai	2nd	Opening Opposition	View Ballot	Halimat Ojone UsmanⒸ
Desperated headache 🤦‍♂️	1st	Opening Government	View Ballot	Halimat Ojone UsmanⒸ
Outsiders	1st	Closing Opposition	View Ballot	Joy HadomeⒸ
have mercy on us please	2nd	Closing Government	View Ballot	Joy HadomeⒸ
Who&#x27;s Next	4th	Opening Opposition	View Ballot	Joy HadomeⒸ
KNUST O	3rd	Opening Government	View Ballot	Joy HadomeⒸ
Making questionable decisions every	2nd	Closing Opposition	View Ballot	Chinmaya MohanⒸ
Hammering Yall&#x27;s Epistemics	1st	Closing Government	View Ballot	Chinmaya MohanⒸ
Crispy Chicken	3rd	Opening Opposition	View Ballot	Chinmaya MohanⒸ
Benchwarmers	4th	Opening Government	View Ballot	Chinmaya MohanⒸ
THW Ban Dihydro Monoxide	2nd	Closing Opposition	View Ballot	NemoⒸ , Jade ShawⓉ
SGT	1st	Closing Government	View Ballot	NemoⒸ , Jade ShawⓉ
YNC QC	3rd	Opening Opposition	View Ballot	NemoⒸ , Jade ShawⓉ
Think about it	4th	Opening Government	View Ballot	NemoⒸ , Jade ShawⓉ
Domy Yogurt	3rd	Closing Opposition	View Ballot	Toru OgaⒸ
low hanging fruit	1st	Closing Government	View Ballot	Toru OgaⒸ
Let&#x27;s Taco Bout It	4th	Opening Opposition	View Ballot	Toru OgaⒸ
we know what you posted on facebook	2nd	Opening Government	View Ballot	Toru OgaⒸ
bmarin kitagawa	1st	Closing Opposition	View Ballot	Ogundare Taye TobiⒸ , Xiaochun “Jennette” Zhu
unverage	4th	Closing Government	View Ballot	Ogundare Taye TobiⒸ , Xiaochun “Jennette” Zhu
FUV	3rd	Opening Opposition	View Ballot	Ogundare Taye TobiⒸ , Xiaochun “Jennette” Zhu
QUEENS	2nd	Opening Government	View Ballot	Ogundare Taye TobiⒸ , Xiaochun “Jennette” Zhu
TC DBSK	1st	Closing Opposition	View Ballot	Rushdoon AhmedⒸ
First month of f2f is 💩	3rd	Closing Government	View Ballot	Rushdoon AhmedⒸ
Swing GL	4th	Opening Opposition	View Ballot	Rushdoon AhmedⒸ
Defenestrators	2nd	Opening Government	View Ballot	Rushdoon AhmedⒸ
This Shanghainese get Shanghai&#x27;ed t	2nd	Closing Opposition	View Ballot	Tamkeen NawabⒸ
NUS LT	1st	Closing Government	View Ballot	Tamkeen NawabⒸ
Kinetic Energy	4th	Opening Opposition	View Ballot	Tamkeen NawabⒸ
CWSDC AT	3rd	Opening Government	View Ballot	Tamkeen NawabⒸ
CWSDC AV	3rd	Closing Opposition	View Ballot	Joshua ParkⒸ
We don&#x27;t have a 2nd speaker so we m	4th	Closing Government	View Ballot	Joshua ParkⒸ
NUS TD	1st	Opening Opposition	View Ballot	Joshua ParkⒸ
Zagreb A(lternate Universe)	2nd	Opening Government	View Ballot	Joshua ParkⒸ
Am I adorable?	4th	Closing Opposition	View Ballot	Mehul JoshiⒸ
Father Bostan	2nd	Closing Government	View Ballot	Mehul JoshiⒸ
shipping is happiness	3rd	Opening Opposition	View Ballot	Mehul JoshiⒸ
3rd is satisfying	1st	Opening Government	View Ballot	Mehul JoshiⒸ
Fantastick	3rd	Closing Opposition	View Ballot	Yash ChaturvediⒸ
CWSDC HK	2nd	Closing Government	View Ballot	Yash ChaturvediⒸ
21 Chump Street	1st	Opening Opposition	View Ballot	Yash ChaturvediⒸ
Swky	4th	Opening Government	View Ballot	Yash ChaturvediⒸ
We Grew Up With SIDO	4th	Closing Opposition	View Ballot	Brian WongⒸ , Chinedu Ijioma
CWSDC LE	2nd	Closing Government	View Ballot	Brian WongⒸ , Chinedu Ijioma
Small smoked fish &amp; Morgan Stanley 	3rd	Opening Opposition	View Ballot	Brian WongⒸ , Chinedu Ijioma
Lil K &amp; Shawty	1st	Opening Government	View Ballot	Brian WongⒸ , Chinedu Ijioma
2 Parks 0 Professors	2nd	Closing Opposition	View Ballot	BoemoⒸ , Maia PunzalanⓉ
Korea-Japan Collab in Europe	3rd	Closing Government	View Ballot	BoemoⒸ , Maia PunzalanⓉ
Kandyland	4th	Opening Opposition	View Ballot	BoemoⒸ , Maia PunzalanⓉ
Cat grill friend	1st	Opening Government	View Ballot	BoemoⒸ , Maia PunzalanⓉ
CWSDC MA	1st	Closing Opposition	View Ballot	Davida PaulⒸ
Manphia	4th	Closing Government	View Ballot	Davida PaulⒸ
muffins are sad cupcakes	2nd	Opening Opposition	View Ballot	Davida PaulⒸ
Still Life 1487	3rd	Opening Government	View Ballot	Davida PaulⒸ
prowlin pogchamp	2nd	Closing Opposition	View Ballot	Ruth Selorme AcolatseⒸ
1.5 Malaysians	4th	Closing Government	View Ballot	Ruth Selorme AcolatseⒸ
I Ordered Affogato and They Gave Me	1st	Opening Opposition	View Ballot	Ruth Selorme AcolatseⒸ
rawr	3rd	Opening Government	View Ballot	Ruth Selorme AcolatseⒸ
CWSDC BC	1st	Closing Opposition	View Ballot	Srijan PoudelⒸ , Yahya Ichakdi
Wayward Ribs	4th	Closing Government	View Ballot	Srijan PoudelⒸ , Yahya Ichakdi
Forda compete ang fersons	2nd	Opening Opposition	View Ballot	Srijan PoudelⒸ , Yahya Ichakdi
Sugar Plz	3rd	Opening Government	View Ballot	Srijan PoudelⒸ , Yahya Ichakdi
Malaysia Folklore	4th	Closing Opposition	View Ballot	Tengku OmarⒸ
rampage	2nd	Closing Government	View Ballot	Tengku OmarⒸ
Bear	3rd	Opening Opposition	View Ballot	Tengku OmarⒸ
Table L is the Best L	1st	Opening Government	View Ballot	Tengku OmarⒸ
Unbroke	2nd	Closing Opposition	View Ballot	Erasmus SegbefiaⒸ , Saugat Pokharel
Debate for Love Team	4th	Opening Opposition	View Ballot	Erasmus SegbefiaⒸ , Saugat Pokharel
A Heartbroken dude and a Stressed g	1st	Opening Government	View Ballot	Erasmus SegbefiaⒸ , Saugat Pokharel
Kandy A	3rd	Closing Government	View Ballot	Erasmus SegbefiaⒸ , Saugat Pokharel
MWBD	2nd	Opening Government	View Ballot	Vladimira ŠuflajⒸ , Ralph Lee
SYDO	3rd	Closing Opposition	View Ballot	Vladimira ŠuflajⒸ , Ralph Lee
Candy Crush	4th	Closing Government	View Ballot	Vladimira ŠuflajⒸ , Ralph Lee
Swirling darkness	1st	Opening Opposition	View Ballot	Vladimira ŠuflajⒸ , Ralph Lee
its giving existential dread bestie	2nd	Closing Opposition	View Ballot	Tawfique ElahiⒸ , Diether
Team Macau Dev TT	4th	Closing Government	View Ballot	Tawfique ElahiⒸ , Diether
Not Breaking Not Broken	1st	Opening Opposition	View Ballot	Tawfique ElahiⒸ , Diether
FL Clover	3rd	Opening Government	View Ballot	Tawfique ElahiⒸ , Diether
Pls have mercy on us	2nd	Closing Opposition	View Ballot	Nayara NoorⒸ
Random Weirdos	4th	Closing Government	View Ballot	Nayara NoorⒸ
AC	1st	Opening Opposition	View Ballot	Nayara NoorⒸ
SpongeBob	3rd	Opening Government	View Ballot	Nayara NoorⒸ
Ateneo BC	1st	Closing Opposition	View Ballot	Ryosei KobayashiⒸ
Ronaldo Suwi	2nd	Closing Government	View Ballot	Ryosei KobayashiⒸ
Panic pandas	3rd	Opening Opposition	View Ballot	Ryosei KobayashiⒸ
Break X Hunter	4th	Opening Government	View Ballot	Ryosei KobayashiⒸ
RUC Sunday Morning	4th	Closing Opposition	View Ballot	Pranav AnandⒸ
Should&#x27;ve Broke Second	1st	Closing Government	View Ballot	Pranav AnandⒸ
Malaysia 1989	2nd	Opening Opposition	View Ballot	Pranav AnandⒸ
Z&amp;L	3rd	Opening Government	View Ballot	Pranav AnandⒸ
Rick Gave Us Up (because we are bro	1st	Opening Government	View Ballot	Shifatul Ahsan ApurbaⒸ
where do we go from here?	2nd	Closing Opposition	View Ballot	Shifatul Ahsan ApurbaⒸ
LHP Padaboom	3rd	Closing Government	View Ballot	Shifatul Ahsan ApurbaⒸ
Wabi Sabi	4th	Opening Opposition	View Ballot	Shifatul Ahsan ApurbaⒸ
evermore	3rd	Closing Opposition	View Ballot	Shuvam MitraⒸ
Team Macau Dev HY	4th	Closing Government	View Ballot	Shuvam MitraⒸ
UZ	1st	Opening Opposition	View Ballot	Shuvam MitraⒸ
What We Got	2nd	Opening Government	View Ballot	Shuvam MitraⒸ
won&#x27;t be there for roll call	1st	Closing Opposition	View Ballot	Utkarsh PandeyⒸ
PEANUTS GA SUKI	2nd	Closing Government	View Ballot	Utkarsh PandeyⒸ
we take pois personally	3rd	Opening Opposition	View Ballot	Utkarsh PandeyⒸ
Arvada King Dar Gwa	4th	Opening Government	View Ballot	Utkarsh PandeyⒸ
Sharks	2nd	Closing Opposition	View Ballot	OljaⒸ , Jeanelle De Ocampo
Blissful New World	1st	Closing Government	View Ballot	OljaⒸ , Jeanelle De Ocampo
SUFE 1	4th	Opening Opposition	View Ballot	OljaⒸ , Jeanelle De Ocampo
disaPOIntment	3rd	Opening Government	View Ballot	OljaⒸ , Jeanelle De Ocampo
Amma	3rd	Closing Opposition	View Ballot	Ayodele SamuelⒸ
CWSDC Vanderbilt	4th	Closing Government	View Ballot	Ayodele SamuelⒸ
Girlboos	1st	Opening Opposition	View Ballot	Ayodele SamuelⒸ
THBT	2nd	Opening Government	View Ballot	Ayodele SamuelⒸ
Jimei	4th	Closing Opposition	View Ballot	Adel Mostaque AhmedⒸ
Double WHIPS	3rd	Closing Government	View Ballot	Adel Mostaque AhmedⒸ
feminisht princhessus	1st	Opening Opposition	View Ballot	Adel Mostaque AhmedⒸ
Don&#x27;t Judge	2nd	Opening Government	View Ballot	Adel Mostaque AhmedⒸ
No Sleep Schedule	1st	Closing Opposition	View Ballot	Beatrice CuizonⒸ
CWSDC AJ	2nd	Closing Government	View Ballot	Beatrice CuizonⒸ
Mga Bading	3rd	Opening Opposition	View Ballot	Beatrice CuizonⒸ
SHOU-AJ	4th	Opening Government	View Ballot	Beatrice CuizonⒸ
Cat Transformers	2nd	Closing Opposition	View Ballot	Ayafa TonyeⒸ
I Draw the Line at Incels	1st	Closing Government	View Ballot	Ayafa TonyeⒸ
CWSDC GA	4th	Opening Opposition	View Ballot	Ayafa TonyeⒸ
Hsejar	3rd	Opening Government	View Ballot	Ayafa TonyeⒸ
MUST Die Hard	3rd	Closing Opposition	View Ballot	Rahul DattaⒸ
We don’t have a name	1st	Closing Government	View Ballot	Rahul DattaⒸ
Neversober	2nd	Opening Opposition	View Ballot	Rahul DattaⒸ
Team Macau Dev MM	4th	Opening Government	View Ballot	Rahul DattaⒸ
Can&#x27;t stop coming ............to de	1st	Closing Opposition	View Ballot	Prashasti SaxenaⒸ
idk	2nd	Closing Government	View Ballot	Prashasti SaxenaⒸ
Electricity	4th	Opening Opposition	View Ballot	Prashasti SaxenaⒸ
Lay Flat	3rd	Opening Government	View Ballot	Prashasti SaxenaⒸ


team	result	side	ballot	adjudicators
We don’t have a name	4th	Closing Opposition	View Ballot	Shifatul Ahsan ApurbaⒸ
SUFE 1	3rd	Closing Government	View Ballot	Shifatul Ahsan ApurbaⒸ
1.5 Malaysians	1st	Opening Opposition	View Ballot	Shifatul Ahsan ApurbaⒸ
Malaysia 1989	2nd	Opening Government	View Ballot	Shifatul Ahsan ApurbaⒸ
PEANUTS GA SUKI	1st	Closing Opposition	View Ballot	Jonathan TuliaoⒸ
Sugar Plz	3rd	Closing Government	View Ballot	Jonathan TuliaoⒸ
Debate our way to the GF	4th	Opening Opposition	View Ballot	Jonathan TuliaoⒸ
idk	2nd	Opening Government	View Ballot	Jonathan TuliaoⒸ
Team Macau Dev HY	4th	Closing Opposition	View Ballot	Mehul JoshiⒸ
Jimei	1st	Closing Government	View Ballot	Mehul JoshiⒸ
Team Macau Dev MM	3rd	Opening Opposition	View Ballot	Mehul JoshiⒸ
Team Macau Dev TT	2nd	Opening Government	View Ballot	Mehul JoshiⒸ
Z&amp;L	3rd	Closing Opposition	View Ballot	Shuvam MitraⒸ
Swing CY	4th	Closing Government	View Ballot	Shuvam MitraⒸ
Father Bostan	2nd	Opening Opposition	View Ballot	Shuvam MitraⒸ
Candy Crush	1st	Opening Government	View Ballot	Shuvam MitraⒸ
Girlboos	3rd	Closing Opposition	View Ballot	ShudiptoⒸ , Joy Hadome
Ateneo BC	1st	Closing Government	View Ballot	ShudiptoⒸ , Joy Hadome
CWSDC BC	2nd	Opening Opposition	View Ballot	ShudiptoⒸ , Joy Hadome
CWSDC LE	4th	Opening Government	View Ballot	ShudiptoⒸ , Joy Hadome
UPD GL	1st	Closing Opposition	View Ballot	Tamkeen NawabⒸ , Ralph Lee
CWSDC MA	2nd	Closing Government	View Ballot	Tamkeen NawabⒸ , Ralph Lee
prowlin pogchamp	3rd	Opening Opposition	View Ballot	Tamkeen NawabⒸ , Ralph Lee
You know what	4th	Opening Government	View Ballot	Tamkeen NawabⒸ , Ralph Lee
Crispy Chicken	3rd	Closing Opposition	View Ballot	BoemoⒸ , Saugat Pokharel
TC DBSK	1st	Closing Government	View Ballot	BoemoⒸ , Saugat Pokharel
low hanging fruit	4th	Opening Opposition	View Ballot	BoemoⒸ , Saugat Pokharel
bmarin kitagawa	2nd	Opening Government	View Ballot	BoemoⒸ , Saugat Pokharel
Swirling darkness	4th	Closing Opposition	View Ballot	Brian WongⒸ
Making questionable decisions every	3rd	Closing Government	View Ballot	Brian WongⒸ
I Draw the Line at Incels	2nd	Opening Opposition	View Ballot	Brian WongⒸ
No Sleep Schedule	1st	Opening Government	View Ballot	Brian WongⒸ
Panic pandas	2nd	Closing Opposition	View Ballot	OljaⒸ , Tawfique Elahi
Outsiders	4th	Closing Government	View Ballot	OljaⒸ , Tawfique Elahi
CWSDC HK	1st	Opening Opposition	View Ballot	OljaⒸ , Tawfique Elahi
SYDO	3rd	Opening Government	View Ballot	OljaⒸ , Tawfique Elahi
Think about it	2nd	Closing Opposition	View Ballot	Rushdoon AhmedⒸ
its giving existential dread bestie	1st	Closing Government	View Ballot	Rushdoon AhmedⒸ
Wayward Ribs	3rd	Opening Opposition	View Ballot	Rushdoon AhmedⒸ
Neversober	4th	Opening Government	View Ballot	Rushdoon AhmedⒸ
Korea-Japan Collab in Europe	1st	Closing Opposition	View Ballot	Ayafa TonyeⒸ , Jade ShawⓉ
Bear	4th	Closing Government	View Ballot	Ayafa TonyeⒸ , Jade ShawⓉ
Me When	3rd	Opening Opposition	View Ballot	Ayafa TonyeⒸ , Jade ShawⓉ
Forda compete ang fersons	2nd	Opening Government	View Ballot	Ayafa TonyeⒸ , Jade ShawⓉ
I Ordered Affogato and They Gave Me	2nd	Closing Opposition	View Ballot	Nayara NoorⒸ
Malaysia Midnights	1st	Closing Government	View Ballot	Nayara NoorⒸ
rampage	3rd	Opening Opposition	View Ballot	Nayara NoorⒸ
Osaka A	4th	Opening Government	View Ballot	Nayara NoorⒸ
Simultaneous Equation	3rd	Closing Opposition	View Ballot	Utkarsh PandeyⒸ
CWSDC GA	1st	Closing Government	View Ballot	Utkarsh PandeyⒸ
Manphia	2nd	Opening Opposition	View Ballot	Utkarsh PandeyⒸ
Midnight Sleepyheads	4th	Opening Government	View Ballot	Utkarsh PandeyⒸ
Should&#x27;ve Broke Second	4th	Closing Opposition	View Ballot	Anshuman MishraⒸ
CWSDC AT	1st	Closing Government	View Ballot	Anshuman MishraⒸ
rawr	2nd	Opening Opposition	View Ballot	Anshuman MishraⒸ
won&#x27;t be there for roll call	3rd	Opening Government	View Ballot	Anshuman MishraⒸ
A Heartbroken dude and a Stressed g	4th	Closing Opposition	View Ballot	Xiaochun “Jennette” ZhuⒸ , Tengku Omar
feminisht princhessus	1st	Closing Government	View Ballot	Xiaochun “Jennette” ZhuⒸ , Tengku Omar
have mercy on us please	3rd	Opening Opposition	View Ballot	Xiaochun “Jennette” ZhuⒸ , Tengku Omar
NNU Plus One	2nd	Opening Government	View Ballot	Xiaochun “Jennette” ZhuⒸ , Tengku Omar
Benchwarmers	1st	Closing Opposition	View Ballot	Adel Mostaque AhmedⒸ
Amma	2nd	Closing Government	View Ballot	Adel Mostaque AhmedⒸ
rich era when	4th	Opening Opposition	View Ballot	Adel Mostaque AhmedⒸ
Mga Bading	3rd	Opening Government	View Ballot	Adel Mostaque AhmedⒸ
swing ZZ	4th	Closing Opposition	View Ballot	Rahul DattaⒸ
RUC Sunday Morning	2nd	Closing Government	View Ballot	Rahul DattaⒸ
Kandy A	3rd	Opening Opposition	View Ballot	Rahul DattaⒸ
POI in the Chat	1st	Opening Government	View Ballot	Rahul DattaⒸ
Desperated headache 🤦‍♂️	4th	Closing Opposition	View Ballot	Srijan PoudelⒸ
Kinetic Energy	2nd	Closing Government	View Ballot	Srijan PoudelⒸ
QUEENS	3rd	Opening Opposition	View Ballot	Srijan PoudelⒸ
Kandyland	1st	Opening Government	View Ballot	Srijan PoudelⒸ
We don&#x27;t have a 2nd speaker so we m	1st	Closing Opposition	View Ballot	Ayodele SamuelⒸ , Banun Sabri
SISU stray girls	4th	Closing Government	View Ballot	Ayodele SamuelⒸ , Banun Sabri
no clue	2nd	Opening Opposition	View Ballot	Ayodele SamuelⒸ , Banun Sabri
Malaysia Folklore	3rd	Opening Government	View Ballot	Ayodele SamuelⒸ , Banun Sabri
Hsejar	3rd	Closing Opposition	View Ballot	Beatrice CuizonⒸ , Owolabi Victor Oluwatobi
We Grew Up With SIDO	1st	Closing Government	View Ballot	Beatrice CuizonⒸ , Owolabi Victor Oluwatobi
MUST LOOOOOK	4th	Opening Opposition	View Ballot	Beatrice CuizonⒸ , Owolabi Victor Oluwatobi
YNC QC	2nd	Opening Government	View Ballot	Beatrice CuizonⒸ , Owolabi Victor Oluwatobi
What We Got	2nd	Closing Opposition	View Ballot	Halimat Ojone UsmanⒸ
KNUST O	1st	Closing Government	View Ballot	Halimat Ojone UsmanⒸ
Unbroke	3rd	Opening Opposition	View Ballot	Halimat Ojone UsmanⒸ
we take pois personally	4th	Opening Government	View Ballot	Halimat Ojone UsmanⒸ
THBT	2nd	Closing Opposition	View Ballot	Vladimira ŠuflajⒸ
DAV Jagerbomb	4th	Closing Government	View Ballot	Vladimira ŠuflajⒸ
Can&#x27;t stop coming ............to de	3rd	Opening Opposition	View Ballot	Vladimira ŠuflajⒸ
Ronaldo Suwi	1st	Opening Government	View Ballot	Vladimira ŠuflajⒸ
Debate for Love Team	3rd	Closing Opposition	View Ballot	Devashish TrivediⒸ
Am I adorable?	2nd	Closing Government	View Ballot	Devashish TrivediⒸ
To be Rich	4th	Opening Opposition	View Ballot	Devashish TrivediⒸ
Big smart eggs	1st	Opening Government	View Ballot	Devashish TrivediⒸ
Hammering Yall&#x27;s Epistemics	2nd	Closing Opposition	View Ballot	NemoⒸ
NUS TD	3rd	Closing Government	View Ballot	NemoⒸ
Blissful New World	4th	Opening Opposition	View Ballot	NemoⒸ
21 Chump Street	1st	Opening Government	View Ballot	NemoⒸ
Random Weirdos	4th	Closing Opposition	View Ballot	Daud LoudoeⒸ
Wabi Sabi	2nd	Closing Government	View Ballot	Daud LoudoeⒸ
Shuank Q	3rd	Opening Opposition	View Ballot	Daud LoudoeⒸ
Let&#x27;s Taco Bout It	1st	Opening Government	View Ballot	Daud LoudoeⒸ
CWSDC Vanderbilt	2nd	Closing Opposition	View Ballot	Vansh ChadhaⒸ
Lay Flat	4th	Closing Government	View Ballot	Vansh ChadhaⒸ
Domy Yogurt	3rd	Opening Opposition	View Ballot	Vansh ChadhaⒸ
FUV	1st	Opening Government	View Ballot	Vansh ChadhaⒸ
Table L is the Best L	3rd	Closing Opposition	View Ballot	NJUGUNA MACHARIAⒸ , Kyle Go
Cat grill friend	1st	Closing Government	View Ballot	NJUGUNA MACHARIAⒸ , Kyle Go
Lil K &amp; Shawty	4th	Opening Opposition	View Ballot	NJUGUNA MACHARIAⒸ , Kyle Go
NUS LT	2nd	Opening Government	View Ballot	NJUGUNA MACHARIAⒸ , Kyle Go
MWBD	1st	Closing Opposition	View Ballot	Davida PaulⒸ
Small smoked fish &amp; Morgan Stanley 	4th	Closing Government	View Ballot	Davida PaulⒸ
CWSDC AV	3rd	Opening Opposition	View Ballot	Davida PaulⒸ
UZ	2nd	Opening Government	View Ballot	Davida PaulⒸ
3rd is satisfying	2nd	Closing Opposition	View Ballot	Toru OgaⒸ
Still Life 1487	1st	Closing Government	View Ballot	Toru OgaⒸ
where do we go from here?	3rd	Opening Opposition	View Ballot	Toru OgaⒸ
Fantastick	4th	Opening Government	View Ballot	Toru OgaⒸ
CWSDC AJ	4th	Closing Opposition	View Ballot	Yash ChaturvediⒸ , Maia PunzalanⓉ
THW Ban Dihydro Monoxide	3rd	Closing Government	View Ballot	Yash ChaturvediⒸ , Maia PunzalanⓉ
This Shanghainese get Shanghai&#x27;ed t	2nd	Opening Opposition	View Ballot	Yash ChaturvediⒸ , Maia PunzalanⓉ
Cat Transformers	1st	Opening Government	View Ballot	Yash ChaturvediⒸ , Maia PunzalanⓉ
shipping is happiness	2nd	Closing Opposition	View Ballot	DietherⒸ
evermore	4th	Closing Government	View Ballot	DietherⒸ
Double WHIPS	1st	Opening Opposition	View Ballot	DietherⒸ
We don&#x27;t cook we don&#x27;t clean	3rd	Opening Government	View Ballot	DietherⒸ
Electricity	1st	Closing Opposition	View Ballot	Ryosei KobayashiⒸ
Plus	3rd	Closing Government	View Ballot	Ryosei KobayashiⒸ
Arvada King Dar Gwa	2nd	Opening Opposition	View Ballot	Ryosei KobayashiⒸ
Grass Connoisseurs	4th	Opening Government	View Ballot	Ryosei KobayashiⒸ
Zagreb A(lternate Universe)	2nd	Closing Opposition	View Ballot	Chinmaya MohanⒸ
2 Parks 0 Professors	1st	Closing Government	View Ballot	Chinmaya MohanⒸ
Sharks	3rd	Opening Opposition	View Ballot	Chinmaya MohanⒸ
SGT	4th	Opening Government	View Ballot	Chinmaya MohanⒸ
Swky	1st	Closing Opposition	View Ballot	Prashasti SaxenaⒸ
Shanghai	4th	Closing Government	View Ballot	Prashasti SaxenaⒸ
SHOU-AJ	3rd	Opening Opposition	View Ballot	Prashasti SaxenaⒸ
First month of f2f is 💩	2nd	Opening Government	View Ballot	Prashasti SaxenaⒸ
we know what you posted on facebook	4th	Closing Opposition	View Ballot	Ogundare Taye TobiⒸ , Pranav Kagalkar
Not Breaking Not Broken	1st	Closing Government	View Ballot	Ogundare Taye TobiⒸ , Pranav Kagalkar
Defenestrators	3rd	Opening Opposition	View Ballot	Ogundare Taye TobiⒸ , Pranav Kagalkar
Pls have mercy on us	2nd	Opening Government	View Ballot	Ogundare Taye TobiⒸ , Pranav Kagalkar
FL Clover	1st	Closing Opposition	View Ballot	Erasmus SegbefiaⒸ
Who&#x27;s Next	3rd	Closing Government	View Ballot	Erasmus SegbefiaⒸ
MUST Die Hard	4th	Opening Opposition	View Ballot	Erasmus SegbefiaⒸ
unverage	2nd	Opening Government	View Ballot	Erasmus SegbefiaⒸ
SpongeBob	4th	Closing Opposition	View Ballot	Pranav AnandⒸ
Don&#x27;t Judge	2nd	Closing Government	View Ballot	Pranav AnandⒸ
LHP Padaboom	3rd	Opening Opposition	View Ballot	Pranav AnandⒸ
Give me five one more time	1st	Opening Government	View Ballot	Pranav AnandⒸ
muffins are sad cupcakes	2nd	Closing Government	View Ballot	Ruth Selorme AcolatseⒸ
Rick Gave Us Up (because we are bro	1st	Opening Opposition	View Ballot	Ruth Selorme AcolatseⒸ
AC	3rd	Opening Government	View Ballot	Ruth Selorme AcolatseⒸ
disaPOIntment	4th	Closing Opposition	View Ballot	Ruth Selorme AcolatseⒸ


team	result	side	ballot	adjudicators
SUFE 1	2nd	Closing Opposition	View Ballot	Rushdoon AhmedⒸ
FL Clover	4th	Closing Government	View Ballot	Rushdoon AhmedⒸ
Should&#x27;ve Broke Second	1st	Opening Opposition	View Ballot	Rushdoon AhmedⒸ
Manphia	3rd	Opening Government	View Ballot	Rushdoon AhmedⒸ
have mercy on us please	4th	Closing Opposition	View Ballot	Jonathan TuliaoⒸ
QUEENS	1st	Closing Government	View Ballot	Jonathan TuliaoⒸ
CWSDC AJ	2nd	Opening Opposition	View Ballot	Jonathan TuliaoⒸ
Double WHIPS	3rd	Opening Government	View Ballot	Jonathan TuliaoⒸ
SGT	4th	Closing Opposition	View Ballot	Utkarsh PandeyⒸ
3rd is satisfying	2nd	Closing Government	View Ballot	Utkarsh PandeyⒸ
Amma	3rd	Opening Opposition	View Ballot	Utkarsh PandeyⒸ
CWSDC AV	1st	Opening Government	View Ballot	Utkarsh PandeyⒸ
I Draw the Line at Incels	4th	Closing Opposition	View Ballot	Pranav AnandⒸ , Ralph Lee
Rick Gave Us Up (because we are bro	3rd	Closing Government	View Ballot	Pranav AnandⒸ , Ralph Lee
Table L is the Best L	1st	Opening Opposition	View Ballot	Pranav AnandⒸ , Ralph Lee
CWSDC BC	2nd	Opening Government	View Ballot	Pranav AnandⒸ , Ralph Lee
DAV Jagerbomb	1st	Opening Government	View Ballot	Prashasti SaxenaⒸ , Shifatul Ahsan Apurba
Big smart eggs	3rd	Opening Opposition	View Ballot	Prashasti SaxenaⒸ , Shifatul Ahsan Apurba
unverage	2nd	Closing Opposition	View Ballot	Prashasti SaxenaⒸ , Shifatul Ahsan Apurba
POI in the Chat	4th	Closing Government	View Ballot	Prashasti SaxenaⒸ , Shifatul Ahsan Apurba
We don&#x27;t cook we don&#x27;t clean	4th	Closing Opposition	View Ballot	Erasmus SegbefiaⒸ
Grass Connoisseurs	3rd	Closing Government	View Ballot	Erasmus SegbefiaⒸ
Am I adorable?	2nd	Opening Opposition	View Ballot	Erasmus SegbefiaⒸ
Random Weirdos	1st	Opening Government	View Ballot	Erasmus SegbefiaⒸ
21 Chump Street	2nd	Closing Opposition	View Ballot	ShudiptoⒸ , Ogundare Taye Tobi
Hammering Yall&#x27;s Epistemics	1st	Closing Government	View Ballot	ShudiptoⒸ , Ogundare Taye Tobi
No Sleep Schedule	3rd	Opening Opposition	View Ballot	ShudiptoⒸ , Ogundare Taye Tobi
TC DBSK	4th	Opening Government	View Ballot	ShudiptoⒸ , Ogundare Taye Tobi
Father Bostan	2nd	Closing Opposition	View Ballot	Rahul DattaⒸ , Diether
Electricity	1st	Closing Government	View Ballot	Rahul DattaⒸ , Diether
CWSDC Vanderbilt	4th	Opening Opposition	View Ballot	Rahul DattaⒸ , Diether
Outsiders	3rd	Opening Government	View Ballot	Rahul DattaⒸ , Diether
NNU Plus One	3rd	Closing Opposition	View Ballot	Ayodele SamuelⒸ
Pls have mercy on us	1st	Closing Government	View Ballot	Ayodele SamuelⒸ
idk	4th	Opening Opposition	View Ballot	Ayodele SamuelⒸ
Panic pandas	2nd	Opening Government	View Ballot	Ayodele SamuelⒸ
Swing FS	4th	Closing Opposition	View Ballot	Saugat PokharelⒸ
To be Rich	1st	Closing Government	View Ballot	Saugat PokharelⒸ
Team Macau Dev HY	2nd	Opening Opposition	View Ballot	Saugat PokharelⒸ
Swing HT	3rd	Opening Government	View Ballot	Saugat PokharelⒸ
low hanging fruit	1st	Closing Opposition	View Ballot	Mehul JoshiⒸ , Owolabi Victor Oluwatobi
Let&#x27;s Taco Bout It	3rd	Closing Government	View Ballot	Mehul JoshiⒸ , Owolabi Victor Oluwatobi
