
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
92	IGNOU A	ESL	3rd	2nd	3rd	1st	3rd	2nd	4th	2nd	2nd	14	1386	1	4	3	0
93	Bard A		1st	3rd	3rd	1st	4th	4th	2nd	1st	3rd	14	1385	3	1	3	0
94	Waterloo C		1st	2nd	4th	2nd	2nd	1st	4th	2nd	4th	14	1382	2	4	0	0
95	HHDC C		2nd	2nd	4th	3rd	2nd	2nd	4th	1st	2nd	14	1382	1	5	1	0
96	JHU A		3rd	3rd	1st	1st	3rd	4th	2nd	4th	1st	14	1378	3	1	3	0
97	Duke A		3rd	4th	2nd	4th	1st	3rd	1st	3rd	1st	14	1373	3	1	3	0
98	Williams A		2nd	2nd	1st	4th	4th	3rd	1st	2nd	3rd	14	1373	2	3	2	0
99	CUDS A		3rd	3rd	3rd	2nd	4th	1st	1st	4th	1st	14	1368	3	1	3	0
100	Waterloo B		4th	4th	1st	1st	1st	3rd	3rd	1st	4th	14	1365	4	0	2	0
101	Williams B		2nd	3rd	3rd	4th	1st	1st	2nd	2nd	4th	14	1364	2	3	2	0
102	QDU C		4th	2nd	2nd	3rd	3rd	1st	2nd	3rd	2nd	14	1346	1	4	3	0
103	UPC A		3rd	4th	2nd	3rd	3rd	2nd	1st	1st	3rd	14	1318	2	2	4	0
104	MSUDG B	ESL	—	—	—	2nd	1st	1st	3rd	2nd	1st	14	917	3	2	1	0
105	Bates B		3rd	2nd	1st	3rd	2nd	1st	4th	3rd	4th	13	1407	2	2	3	0
106	TCD Phil B		1st	3rd	2nd	4th	3rd	3rd	1st	3rd	3rd	13	1397	2	1	5	0
107	ADS Silver		1st	4th	1st	2nd	2nd	1st	4th	4th	4th	13	1396	3	2	0	0
108	Cornell B		1st	3rd	1st	4th	4th	3rd	3rd	2nd	2nd	13	1395	2	2	3	0
109	HHDC E		2nd	4th	1st	2nd	4th	1st	3rd	4th	2nd	13	1388	2	3	1	0
110=	McGill A		1st	3rd	3rd	1st	4th	2nd	2nd	4th	3rd	13	1388	2	2	3	0
110=	Stanford G		2nd	3rd	3rd	1st	4th	2nd	3rd	1st	4th	13	1388	2	2	3	0
112	ADS Purple		2nd	1st	4th	4th	2nd	2nd	4th	3rd	1st	13	1385	2	3	1	0
113	Tokyo B	ESL	4th	3rd	1st	2nd	2nd	2nd	3rd	3rd	3rd	13	1380	1	3	4	0
114	Wisconsin A		3rd	2nd	2nd	4th	1st	2nd	1st	4th	4th	13	1379	2	3	1	0
115	UCL B		1st	4th	2nd	4th	3rd	1st	3rd	2nd	3rd	13	1379	2	2	3	0
116	UM B	ESL	2nd	2nd	4th	2nd	4th	3rd	1st	3rd	2nd	13	1379	1	4	2	0
117	UPenn D		1st	4th	4th	1st	3rd	2nd	3rd	2nd	3rd	13	1374	2	2	3	0
118	CUS D		2nd	4th	4th	2nd	1st	2nd	1st	4th	3rd	13	1373	2	3	1	0
119	HWS B		3rd	3rd	4th	1st	2nd	4th	2nd	1st	3rd	13	1373	2	2	3	0
120	Dartmouth B		2nd	3rd	2nd	3rd	3rd	3rd	2nd	1st	4th	13	1372	1	3	4	0
121	BDS A	ESL	4th	4th	2nd	1st	3rd	4th	3rd	1st	1st	13	1369	3	1	2	0
122	Vanderbilt A		4th	1st	2nd	3rd	2nd	3rd	2nd	2nd	4th	13	1369	1	4	2	0
123	UWODS B		1st	3rd	4th	2nd	2nd	4th	3rd	1st	3rd	13	1366	2	2	3	0
124	Brown BDU C		4th	1st	4th	2nd	4th	1st	2nd	4th	1st	13	1364	3	2	0	0
125	UCL A		4th	3rd	1st	1st	4th	1st	4th	4th	1st	13	1361	4	0	1	0
126	HHDC D		3rd	2nd	4th	2nd	2nd	1st	4th	4th	1st	13	1360	2	3	1	0
127	BINUS A	ESL, EFL	4th	2nd	3rd	1st	1st	2nd	4th	2nd	4th	13	1356	2	3	1	0
128	Rosario D	ESL, EFL	3rd	2nd	4th	2nd	4th	4th	1st	1st	2nd	13	1347	2	3	1	0
