
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	DSS	1sts	2nds
28	ETH Zurich AS		1st	3rd	2nd	2nd	2nd	10	780	11642.00	1	3
29	Fudan A	ESL	1st	3rd	4th	1st	1st	10	779	11598.00	3	0
30	Open MR	ESL	—	3rd	1st	1st	1st	10	632	8729.00	3	0
31	Oxford C(lutch szn)		1st	1st	2nd	3rd	4th	9	798	11522.00	2	1
32	Open HM		1st	3rd	4th	2nd	1st	9	794	11619.00	2	1
33	Copenhagen PS	ESL	4th	1st	2nd	1st	3rd	9	794	11084.00	2	1
34	Prinkston		1st	3rd	4th	1st	2nd	9	793	11685.00	2	1
35	Open GF	ESL	1st	1st	3rd	4th	2nd	9	791	11730.00	2	1
36	Chicago CP		2nd	1st	3rd	2nd	3rd	9	791	11304.00	1	2
37	Open Absorbent, Yellow, and Porous		1st	1st	2nd	4th	3rd	9	790	11848.00	2	1
38	Columbia CM		2nd	2nd	2nd	3rd	2nd	9	788	11618.00	0	4
39	UPenn Springfield Immigrants		2nd	2nd	1st	2nd	4th	9	785	11704.00	1	3
40	Columbia A		3rd	2nd	1st	4th	1st	9	783	11205.00	2	1
41	NTU BT		3rd	3rd	1st	3rd	1st	9	782	11300.00	2	0
42	Addiction help needed		4th	1st	3rd	2nd	1st	9	781	11375.00	2	1
43	Oxford The Couch	ESL	1st	2nd	4th	2nd	2nd	9	780	11694.00	1	3
44	SRCC KN	ESL	2nd	3rd	3rd	1st	2nd	9	778	11583.00	1	2
45	GoD AK	ESL	3rd	2nd	2nd	3rd	1st	9	763	11391.00	1	2
46	Harvard Humwat		2nd	2nd	3rd	1st	4th	8	792	11680.00	1	2
47	KCL CS		1st	2nd	1st	4th	4th	8	790	11813.00	2	1
48	Ted owns his shit	ESL	1st	1st	3rd	3rd	4th	8	785	11748.00	2	0
49	UFD A	ESL	2nd	1st	4th	2nd	3rd	8	785	11494.00	1	2
50	HWS A		1st	1st	4th	3rd	3rd	8	782	11788.00	2	0
51	Harvard GS		2nd	1st	4th	1st	4th	8	782	11702.00	2	1
52	PUCP OR	ESL	2nd	3rd	2nd	2nd	3rd	8	781	11524.00	0	3
53	Pompeu Fabra BG	ESL	2nd	4th	3rd	1st	2nd	8	780	11530.00	1	2
54	Open LI	ESL	2nd	2nd	2nd	3rd	3rd	8	777	11418.00	0	3
55	MDU AS		2nd	4th	3rd	2nd	1st	8	776	11012.00	1	2
56	Open AC		2nd	3rd	4th	1st	2nd	8	775	11528.00	1	2
57	HH MZ		3rd	3rd	3rd	1st	2nd	8	775	11101.00	1	1
58	Rochester NL		1st	4th	4th	1st	2nd	8	773	10923.00	2	1
59	NSU A	ESL	3rd	1st	4th	1st	3rd	8	772	11537.00	2	0
60	Open GM		1st	4th	3rd	3rd	1st	8	769	11442.00	2	0
61	UFMG FV	ESL	2nd	2nd	3rd	4th	1st	8	767	11534.00	1	2
62	Duke RY		4th	1st	2nd	4th	1st	8	762	10884.00	2	1
63	Brown HN		3rd	1st	1st	4th	4th	7	783	11098.00	2	0
64	Cornell KZ		2nd	2nd	1st	4th	4th	7	780	11695.00	1	2
65	NU BZ	ESL	2nd	3rd	2nd	3rd	3rd	7	776	10601.00	0	2
66	NTU BL		1st	3rd	3rd	4th	2nd	7	775	11655.00	1	1
67	LUMS KT	ESL	3rd	2nd	1st	4th	3rd	7	774	11311.00	1	1
68	IUT KA	ESL	2nd	2nd	4th	2nd	3rd	7	771	11380.00	0	3
69	Cornell GL		1st	4th	2nd	3rd	3rd	7	771	11173.00	1	1
70	Chicago MP		1st	3rd	1st	4th	4th	7	770	11222.00	2	0
71	Open MT	ESL	3rd	2nd	3rd	3rd	2nd	7	769	11424.00	0	2
72	UWODS LU		1st	4th	2nd	2nd	4th	7	767	11469.00	1	2
73	IIT Bombay CK	ESL	3rd	2nd	4th	3rd	1st	7	765	10724.00	1	1
74	HH AS		2nd	4th	2nd	1st	4th	7	764	11300.00	1	2
75	Khalsa SV	ESL	4th	1st	3rd	3rd	2nd	7	764	11269.00	1	1
76	Georgia Tech Willage Warriors		4th	1st	1st	4th	3rd	7	763	11311.00	2	0
77	Warsaw HI	ESL	2nd	3rd	4th	2nd	2nd	7	762	11574.00	0	3
78	Chicago HS		3rd	3rd	4th	2nd	1st	7	759	10925.00	1	1
79	EDS C		4th	4th	1st	3rd	1st	7	758	11132.00	2	0
80	UNIMET GR	ESL	3rd	4th	2nd	2nd	2nd	7	755	11349.00	0	3
81	HWS Danny’s Disciples		4th	4th	1st	3rd	1st	7	746	11053.00	2	0
82	Wisconsin HN		2nd	2nd	2nd	4th	4th	6	779	11467.00	0	3
83	TEC CEM Taco Bell version	ESL	3rd	3rd	2nd	2nd	4th	6	771	11613.00	0	2
84	WUDU 1		1st	4th	4th	3rd	2nd	6	771	11524.00	1	1
85	Columbia BF		2nd	4th	4th	3rd	1st	6	768	10908.00	1	1
86	Open AZ	ESL	2nd	3rd	3rd	2nd	4th	6	764	10635.00	0	2
87	BAC UM we will be BAC	ESL	4th	2nd	4th	1st	3rd	6	764	10502.00	1	1
88	Rosario D	ESL	3rd	4th	4th	1st	2nd	6	761	11199.00	1	1
89	Clemson AF		4th	2nd	2nd	4th	2nd	6	760	11457.00	0	3
90	PUCP EN	ESL	3rd	1st	3rd	4th	3rd	6	759	11511.00	1	0
91	UFSC OR	ESL	2nd	3rd	4th	4th	1st	6	759	11504.00	1	1
92	UIUC GX		3rd	3rd	3rd	4th	1st	6	759	11258.00	1	0
93	EDS ex-novs debating at a novice level		4th	3rd	1st	3rd	3rd	6	759	11123.00	1	0
94	UPenn viha left me		3rd	4th	2nd	1st	4th	6	757	10481.00	1	1
95	Rosario D-UCV	ESL	4th	3rd	2nd	2nd	3rd	6	755	11332.00	0	2
96	MDU LT		4th	2nd	1st	3rd	4th	6	751	11503.00	1	1
97	WUDU 2		2nd	4th	1st	4th	3rd	6	751	10958.00	1	1
98	Rosario Extrañamos a Juanita	ESL	4th	1st	3rd	4th	2nd	6	749	10790.00	1	1
99	Delhi radical marxist feminists	ESL	2nd	1st	4th	3rd	—	6	608	9279.00	1	1
100	Open DG		2nd	3rd	1st	—	—	6	472	6969.00	1	1
101	BAC no spec all logic	ESL	3rd	2nd	4th	3rd	3rd	5	764	11542.00	0	1
102	UA&amp;P Ted &amp; Lily	ESL	4th	2nd	4th	2nd	3rd	5	764	11172.00	0	2
103	MDU 0.1m2 galvanised square steel		2nd	4th	1st	4th	4th	5	763	11243.00	1	1
104	Wisconsin GP		4th	1st	4th	2nd	4th	5	755	11510.00	1	1
105	Wisconsin CT		3rd	4th	4th	1st	3rd	5	753	10666.00	1	0
106	HWS RC		3rd	1st	4th	3rd	4th	5	750	10898.00	1	0
107	WUDU 3		4th	2nd	4th	3rd	2nd	5	748	11101.00	0	2
108	Fordham Rams EV		4th	2nd	2nd	4th	3rd	5	731	11003.00	0	2
109	Calgary Bitorko Onushilon	ESL	2nd	4th	—	1st	4th	5	609	8232.00	1	1
110	DAV LA	ESL	3rd	4th	2nd	—	2nd	5	608	9175.00	0	2
111	Denison - Olympia Schools Chester	ESL	—	3rd	3rd	1st	4th	5	606	8761.00	1	0
112	Harvard AD		3rd	4th	1st	4th	4th	4	757	11537.00	1	0
113	Clemson ML		3rd	4th	2nd	4th	3rd	4	754	10748.00	0	1
114	RMIT MT	ESL	3rd	4th	4th	2nd	3rd	4	752	10870.00	0	1
115	Colombo HK	ESL	4th	3rd	3rd	4th	2nd	4	750	10207.00	0	1
116	MUST stay up all night	ESL	3rd	3rd	3rd	3rd	4th	4	745	11477.00	0	0
117	Clemson GO		4th	4th	3rd	3rd	2nd	4	742	10832.00	0	1
118	Rosario C	ESL	4th	4th	2nd	2nd	4th	4	742	10820.00	0	2
119	MSU Timella de Vil		4th	3rd	1st	4th	4th	4	741	10931.00	1	0
120	Georgia Tech SR		4th	3rd	4th	4th	1st	4	737	10533.00	1	0
121	HWS RT		4th	3rd	3rd	4th	3rd	3	751	10655.00	0	0
122	HWS BM		4th	2nd	3rd	4th	4th	3	748	11398.00	0	1
123	Clemson HK		4th	3rd	3rd	3rd	4th	3	746	10976.00	0	0
124	MSU Hannahble Esther		4th	4th	3rd	3rd	3rd	3	741	10095.00	0	0
125	USC BF		3rd	2nd	—	—	—	3	309	4195.00	0	1
126	Sciences Po FV	ESL	4th	4th	2nd	4th	4th	2	734	11223.00	0	1
127	CU A	ESL	4th	2nd	4th	—	4th	2	593	8633.00	0	1
128	Georgia Tech Tynado		3rd	3rd	4th	4th	—	2	592	8668.00	0	0
129	GoD JM	ESL	3rd	3rd	—	—	—	2	306	4620.00	0	0
130	Swing 2		4th	—	—	2nd	—	2	299	4596.00	0	1
131	Swing 1		2nd	—	—	4th	—	2	296	4422.00	0	1
132	Swing 3		—	—	—	2nd	—	2	151	2100.00	0	1
133	RMIT DV		4th	4th	4th	4th	—	0	575	8605.00	0	0
134	FTU NT	ESL	4th	4th	4th	—	—	0	442	6395.00	0	0
135	Rick and Morty	ESL	4th	4th	—	—	—	0	294	4553.00	0	0
136=	Georgia Tech BN		—	—	—	—	—	—	—	0	0	0
136=	Swing 4		—	—	—	—	—	—	—	0	0	0
136=	PUCP C	ESL	—	—	—	—	—	—	—	0	0	0
136=	Strathmore A	ESL	—	—	—	—	—	—	—	0	0	0
136=	Open OO		—	—	—	—	—	—	—	0	0	0
136=	NSU B	ESL	—	—	—	—	—	—	—	0	0	0
136=	break or break a leg		—	—	—	—	—	—	—	0	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Matt Caito		Open Matt and Paula	81	84	81	82	83	411	82.20	1.17
2	Matt Mauriello		Open Matt and Robi	80	83	79	82	84	408	81.60	1.85
3	Tanae Rao		Inner Temple B	80	82	81	82	82	407	81.40	0.80
4	Sam Druce		Open lubricated probe covers for m	82	81	82	79	82	406	81.20	1.17
5=	Ayal Mor	ESL	HUJI AA	80	84	80	82	79	405	81.00	1.79
5=	Robert Raos	ESL	Open Matt and Robi	80	83	78	82	82	405	81.00	1.79
7=	Andrew Chen		Inner Temple B	79	82	80	81	82	404	80.80	1.17
7=	Luigi Alcaneses		UPD AL	81	80	83	80	80	404	80.80	1.17
7=	Jason Tu		UPenn Belt and Road Initiative	79	82	81	81	81	404	80.80	0.98
7=	Ashwin Laksumanage	ESL	UPenn Belt and Road Initiative	79	82	81	82	80	404	80.80	1.17
11=	Bea Legaspi	ESL	UPD AL	80	81	82	80	80	403	80.60	0.80
11=	Dhruv Hariharan		Open lubricated probe covers for m	80	81	80	80	82	403	80.60	0.80
13	Amitai Ben Porat	ESL	HUJI AA	79	83	79	81	79	401	80.20	1.60
14=	Alexandra Uy-Tioco		UPenn China and Greater China	81	80	81	79	79	400	80.00	0.89
14=	Tanush Agarwal		Oxford C(lutch szn)	79	82	80	80	79	400	80.00	1.10
16=	Ambika Grover		Harvard the panda elephant tigers	79	79	81	81	79	399	79.80	0.98
16=	Adam Banihani		HH BY	79	80	82	79	79	399	79.80	1.17
16=	Veer Juneja		USC 1	78	81	81	79	80	399	79.80	1.17
16=	Alexandr Susic		Open AS	80	76	80	82	81	399	79.80	2.04
16=	Ziyad Anwer		Liverpool AM	76	81	78	83	81	399	79.80	2.48
16=	Rohan campion		UCL CD	77	82	80	79	81	399	79.80	1.72
16=	Andy Cullinan		Prinkston	80	80	77	82	80	399	79.80	1.60
23=	Laura Serafine Pilmark	ESL	Copenhagen PS	77	81	79	80	81	398	79.60	1.50
23=	Mohamed Humaid Saleem		Harvard Humwat	79	82	77	81	79	398	79.60	1.74
23=	Olivia Mackender		Liverpool AM	76	80	78	81	83	398	79.60	2.42
23=	Lovro Marušić	ESL	Vukovar A	79	78	80	80	81	398	79.60	1.02
23=	Arpi Yang		HH BY	79	79	82	78	80	398	79.60	1.36
23=	Harith Menon	Novice	Open HM	83	80	76	80	79	398	79.60	2.24
23=	Bonfilio Dazzle	ESL	Oxford C(lutch szn)	79	81	80	80	78	398	79.60	1.02
30=	Stephanie Chen		Harvard the panda elephant tigers	79	78	81	79	80	397	79.40	1.02
30=	Isabelle Monsman	Novice	Usask SM	78	80	79	80	80	397	79.40	0.80
30=	Anais Kneppers		EDS if we break we&#x27;ll get married :)	76	80	79	81	81	397	79.40	1.85
30=	Henry Clement-Jones		KCL CS	78	81	81	79	78	397	79.40	1.36
30=	Umar Fazlan	Novice, ESL	Open GF	80	81	78	78	80	397	79.40	1.20
30=	Tori Ling	Novice, ESL	UPenn China and Greater China	80	80	81	78	78	397	79.40	1.20
30=	Gareth Lim		Oxford Friendship is Magic	81	78	79	80	79	397	79.40	1.02
37=	Bharath Anantham		Oxford Friendship is Magic	80	79	79	79	79	396	79.20	0.40
37=	Ale Perri		Chicago CP	78	81	78	80	79	396	79.20	1.17
37=	Martha Johanne Schou	ESL	Copenhagen PS	76	82	79	79	80	396	79.20	1.94
37=	Isaiah Hui	Novice	Open HM	82	79	76	80	79	396	79.20	1.94
37=	Arjun Raman		Open Raman and Vanni	81	79	78	78	80	396	79.20	1.17
42=	Will Shevkenek	Novice	Usask SM	78	79	80	78	80	395	79.00	0.89
42=	Belle Ho		Open Absorbent, Yellow, and Porous	81	79	78	77	80	395	79.00	1.41
42=	Kuhan Karttikeyn	ESL	Malaya A	80	80	75	78	82	395	79.00	2.37
42=	James Alexandr Carr		Open AS	78	75	80	82	80	395	79.00	2.37
42=	Stefan Josipović	ESL	Vukovar A	80	77	80	78	80	395	79.00	1.26
42=	Henrietta Vanni		Open Raman and Vanni	80	80	78	78	79	395	79.00	0.89
42=	Jonathan Chen		Chicago CP	77	80	78	80	80	395	79.00	1.26
42=	Justin Wu		Open Absorbent, Yellow, and Porous	81	79	79	77	79	395	79.00	1.26
42=	Marceli Amelia Potocki		Oxford B	78	78	79	78	82	395	79.00	1.55
51=	Tony Chen	Novice	UWODS Tony	78	80	77	79	80	394	78.80	1.17
51=	Sharun Nikesh G	ESL	Open GF	78	81	78	76	81	394	78.80	1.94
51=	Ananya Ganesh		Harvard GS	79	83	76	78	78	394	78.80	2.32
51=	Mukudzeiishe Madzivire		Columbia CM	77	79	79	79	80	394	78.80	0.98
51=	Shashwat Rai	Novice	Harvard Humwat	78	81	77	79	79	394	78.80	1.33
51=	Anshuman Mishra	ESL	UFD A	80	80	79	77	78	394	78.80	1.17
51=	Tanya Chatterjee		Columbia CM	78	80	78	79	79	394	78.80	0.75
51=	Raffay Tabassum	ESL	Amherst GT	76	78	80	81	79	394	78.80	1.72
51=	Victor Tong		Columbia A	78	80	81	78	77	394	78.80	1.47
51=	Sherissa Wu		USC 1	77	80	80	78	79	394	78.80	1.17
51=	Simon Yu		we wood ruff yu up	77	78	79	80	80	394	78.80	1.17
51=	Ricky Jin	ESL	Ted owns his shit	81	81	78	77	77	394	78.80	1.83
51=	Molly Callaghan		Prinkston	79	79	77	81	78	394	78.80	1.33
51=	Salleh Nidzam	ESL	Malaya/Taylor&#x27;s SA	78	77	78	79	82	394	78.80	1.72
65=	Hasit Nanda		UPenn Springfield Immigrants	78	77	80	79	79	393	78.60	1.02
65=	Anders Cairns Woodruff		we wood ruff yu up	76	78	80	81	78	393	78.60	1.74
65=	Rashrvin Pillay	ESL	Malaya A	81	78	75	78	81	393	78.60	2.24
65=	Ahsan	ESL	Malaya/Taylor&#x27;s SA	77	78	78	78	82	393	78.60	1.74
69=	Lamia Nur Rahman		HWS A	79	80	76	79	78	392	78.40	1.36
69=	Teymour Aldridge		ETH Zurich AS	77	82	77	78	78	392	78.40	1.85
69=	Ha Duy Thanh		NTU BT	79	76	78	78	81	392	78.40	1.62
69=	Sena Kim	ESL	UPenn Springfield Immigrants	79	78	80	77	78	392	78.40	1.02
69=	Omesh		Addiction help needed	75	80	78	79	80	392	78.40	1.85
69=	Jess Williamson	Novice	Oxford B	77	78	80	77	80	392	78.40	1.36
75=	Alex Zhang		Cornell KZ	79	79	80	76	77	391	78.20	1.47
75=	Jorge Godos Ortiz	ESL	PUCP OR	77	78	79	79	78	391	78.20	0.75
75=	Manav Dhaliwal		UCL CD	75	79	79	78	80	391	78.20	1.72
75=	Alex Chan	Novice, ESL	Ted owns his shit	79	80	77	77	78	391	78.20	1.17
75=	Zaakir Zulfikar	Novice, ESL	UFD A	79	80	77	76	79	391	78.20	1.47
75=	Leo Marinopoulos	Novice, ESL	Oxford The Couch	79	79	77	77	79	391	78.20	0.98
75=	Subhan Khan		HH RK	79	79	75	78	80	391	78.20	1.72
75=	Luis Felipe Garcia	ESL	Pompeu Fabra BG	81	75	76	78	81	391	78.20	2.48
75=	Abel Mathew Koshy	ESL	SRCC KN	79	78	76	79	79	391	78.20	1.17
84=	Cecilia Granda-Scott		Amherst GT	75	76	79	81	79	390	78.00	2.19
84=	Ashton Higgins	Novice	Brown HN	79	79	80	75	77	390	78.00	1.79
84=	Aizad Rayan	ESL	HH RK	79	78	74	78	81	390	78.00	2.28
84=	Heba Haq		Wisconsin HN	80	78	80	75	77	390	78.00	1.90
84=	Jiayi Lian	Novice, ESL	Open LI	77	80	80	76	77	390	78.00	1.67
84=	Joseph Mai		HH MZ	77	77	79	78	79	390	78.00	0.89
84=	Soh Kay Boon		NTU BT	79	76	77	77	81	390	78.00	1.79
84=	Fernanda Crousillat Rayter	ESL	PUCP OR	76	78	78	80	78	390	78.00	1.26
84=	Jin Lehan	ESL	Fudan A	77	77	76	79	81	390	78.00	1.79
84=	Sandeep Tissaaratchy		HWS A	80	80	75	79	76	390	78.00	2.10
94=	Rafay Ahmed	Novice	MDU AS	80	77	76	77	79	389	77.80	1.47
94=	Max Papaioannides	Novice, ESL	Oxford The Couch	79	79	76	77	78	389	77.80	1.17
94=	William J		Columbia A	76	78	80	77	78	389	77.80	1.33
94=	Altynay Zamanbekova	ESL	NU BZ	78	77	79	77	78	389	77.80	0.75
94=	Skylar Kleinman		Cornell KZ	78	79	80	75	77	389	77.80	1.72
94=	Sandhya Nayar		Wisconsin HN	80	79	79	75	76	389	77.80	1.94
94=	Angela Buquet	ESL	Pompeu Fabra BG	79	76	77	77	80	389	77.80	1.47
94=	Ma Yansheng	ESL	Fudan A	77	76	77	79	80	389	77.80	1.47
102=	Heidi Silvennoinen		ETH Zurich AS	76	80	78	77	77	388	77.60	1.36
102=	Ahmed Fahim Shihab	ESL	Harvard GS	78	82	75	77	76	388	77.60	2.42
102=	Daud Kharal	ESL	LUMS KT	76	78	80	76	78	388	77.60	1.50
102=	William Lock		Cornell GL	78	76	79	79	76	388	77.60	1.36
102=	Wayne Lim		NTU BL	78	77	79	76	78	388	77.60	1.02
107=	Urfaan Sadid	Novice	MDU AS	79	77	76	77	78	387	77.40	1.02
107=	Imran Ilmam	ESL	Open LI	78	79	79	76	75	387	77.40	1.62
107=	Faith Liu		Rochester NL	79	76	77	80	75	387	77.40	1.85
107=	M.Navakanth	ESL	SRCC KN	77	77	76	77	80	387	77.40	1.36
107=	Sahib Rahman Khan	ESL	IUT KA	78	78	78	78	75	387	77.40	1.20
107=	Hana Bajrai		NTU BL	79	77	78	76	77	387	77.40	1.02
107=	Daniyar Baimagambetov	ESL	NU BZ	78	76	78	77	78	387	77.40	0.80
114=	Charles Ndlovu	ESL	Rochester NL	78	75	76	81	76	386	77.20	2.14
114=	Jesenia Parthasarathy		Chicago MP	78	79	79	77	73	386	77.20	2.23
114=	Rafiush Safin	Novice, ESL	NSU A	75	78	73	81	79	386	77.20	2.86
114=	Josiah Butler		WUDU 1	78	77	76	75	80	386	77.20	1.72
114=	Shadman Khan Chowdhury	Novice, ESL	NSU A	76	77	73	80	80	386	77.20	2.64
114=	Ahmad Bin Tahir	ESL	LUMS KT	77	76	80	76	77	386	77.20	1.47
114=	Benjamin Vigueras	ESL	TEC CEM Taco Bell version	77	78	78	78	75	386	77.20	1.17
114=	Chetanya Singh	Novice, ESL	Open AC	76	78	77	77	78	386	77.20	0.75
122=	El Mehdi Idrissi Guenouni	ESL	Open GM	78	76	77	76	78	385	77.00	0.89
122=	Mitchell Septoff		WUDU 1	78	77	76	76	78	385	77.00	0.89
122=	Rafay Hadi		Georgia Tech Willage Warriors	74	76	78	79	78	385	77.00	1.79
122=	Brandon Zhang		HH MZ	76	77	78	77	77	385	77.00	0.63
122=	Henry Bansbach		Columbia BF	77	75	76	75	82	385	77.00	2.61
122=	Esteban Valle	ESL	TEC CEM Taco Bell version	77	78	79	76	75	385	77.00	1.41
128=	Feifei Mei		Chicago MP	79	78	78	76	73	384	76.80	2.14
128=	Matheus Furtado	ESL	UFMG FV	76	79	77	75	77	384	76.80	1.33
128=	William Shi	Novice	HH AS	77	74	78	78	77	384	76.80	1.47
128=	Andrew Liu		UWODS LU	77	77	77	77	76	384	76.80	0.40
128=	Moez Uddin Ashrafee	ESL	IUT KA	77	77	77	78	75	384	76.80	0.98
128=	Peter Manou	Novice	Open GM	77	76	76	77	78	384	76.80	0.75
128=	Praveen	Novice, ESL	BAC UM we will be BAC	74	81	75	77	77	384	76.80	2.40
135=	Christine Ong	Novice, ESL	BAC no spec all logic	76	78	74	77	78	383	76.60	1.50
135=	Adam Ursenbach		UWODS LU	78	77	76	75	77	383	76.60	1.02
135=	Ania Ziemba	ESL	Open AZ	75	77	75	79	77	383	76.60	1.50
135=	Abhay Gupta		Cornell GL	76	77	78	77	75	383	76.60	1.02
135=	Pranjal Chakraborty	ESL	IIT Bombay CK	76	78	74	77	78	383	76.60	1.50
135=	Seiichiro Tsutagawa	ESL	Open MT	76	77	77	76	77	383	76.60	0.49
135=	Bruno Visnadi	ESL	UFMG FV	77	79	76	76	75	383	76.60	1.36
135=	Ishrak Ahmed Khan	Novice, ESL	GoD AK	78	74	79	75	77	383	76.60	1.85
135=	Juan Esteban Triviño	ESL	Rosario D	77	77	76	75	78	383	76.60	1.02
135=	Grace Flynn		Columbia BF	76	76	76	75	80	383	76.60	1.74
135=	Hanna Pabiś	ESL	Warsaw HI	78	77	76	75	77	383	76.60	1.02
146=	Gautam Khona	ESL	IIT Bombay CK	77	76	74	78	77	382	76.40	1.36
146=	Arielle Mirandilla	ESL	UA&amp;P Ted &amp; Lily	79	77	76	76	74	382	76.40	1.62
146=	Nathanael Ren		Duke RY	75	76	79	74	78	382	76.40	1.85
146=	kinshuk vasan	ESL	Khalsa SV	75	79	77	75	76	382	76.40	1.50
146=	abhayvir singh	ESL	Khalsa SV	76	79	76	75	76	382	76.40	1.36
146=	Josef Singson	ESL	UA&amp;P Ted &amp; Lily	78	78	76	77	73	382	76.40	1.85
146=	Sebastian Ezeta	ESL	PUCP EN	75	79	78	75	75	382	76.40	1.74
146=	Zyna Dhillon	Novice	Harvard AD	76	77	77	76	76	382	76.40	0.49
146=	John Washburn	Novice	EDS C	76	75	76	75	80	382	76.40	1.85
155=	Agastya Govind	Novice	UIUC GX	75	77	77	75	77	381	76.20	0.98
155=	Luan de Paula Batista Oliveira	ESL	UFSC OR	77	78	75	73	78	381	76.20	1.94
155=	Tomas Romero	Novice, ESL	UNIMET GR	77	75	75	79	75	381	76.20	1.60
155=	I.K. Agho		Clemson AF	77	76	76	76	76	381	76.20	0.40
155=	Xavier Alif	ESL	Open AZ	74	75	76	80	76	381	76.20	2.04
155=	Aiman Hafiz	Novice, ESL	BAC no spec all logic	76	78	75	75	77	381	76.20	1.17
155=	Aubrey Nan		MDU 0.1m2 galvanised square steel	78	75	80	73	75	381	76.20	2.48
162=	Yan Joo	Novice, ESL	BAC UM we will be BAC	74	80	73	77	76	380	76.00	2.45
162=	Vibhav Singh		Chicago HS	75	78	73	76	78	380	76.00	1.90
162=	Mahir Aziz	ESL	HH AS	76	74	77	78	75	380	76.00	1.41
162=	Yueqian Wang		EDS ex-novs debating at a novice level	76	74	77	77	76	380	76.00	1.10
162=	Nadim Abrar	Novice, ESL	GoD AK	77	74	78	75	76	380	76.00	1.41
162=	Emily Yagoda		Duke RY	75	77	79	73	76	380	76.00	2.00
168=	Raymond Ha		Chicago HS	76	75	72	77	79	379	75.80	2.32
168=	Connor Fraley		Clemson AF	76	75	76	76	76	379	75.80	0.40
168=	Ana Victoria Ascanio Abreu	ESL	Rosario D-UCV	74	75	76	77	77	379	75.80	1.17
168=	Adrienne Liu		EDS ex-novs debating at a novice level	75	75	77	77	75	379	75.80	0.98
168=	Gaurav Goel	Novice	UPenn viha left me	76	73	77	78	75	379	75.80	1.72
168=	Igor Szar	ESL	Warsaw HI	76	76	75	75	77	379	75.80	0.75
174=	Daniela Leyton Giraldo	ESL	Rosario D	76	74	77	74	77	378	75.60	1.36
174=	Jerry Xu	Novice, ESL	UIUC GX	76	76	75	74	77	378	75.60	1.02
174=	Vitor de Gaspari Ramos	ESL	UFSC OR	75	78	74	74	77	378	75.60	1.62
174=	Aph Guvenen		Wisconsin GP	73	77	77	77	74	378	75.60	1.74
174=	Musab Chummun	Novice	UPenn viha left me	77	73	77	77	74	378	75.60	1.74
179=	Katelynn Landry		Clemson ML	76	76	77	74	74	377	75.40	1.20
179=	Morgan Mannion		Clemson ML	76	75	78	74	74	377	75.40	1.50
179=	Dheeraj Pasikanti		Wisconsin GP	73	76	77	77	74	377	75.40	1.62
179=	Aiden Dopson		WUDU 2	77	75	77	73	75	377	75.40	1.50
179=	James Casey		Wisconsin CT	76	76	73	76	76	377	75.40	1.20
179=	Vijay Tupper		MDU LT	74	76	77	76	74	377	75.40	1.20
